price,ma5,ma10,volume,volatility
100.49671415301123,101.33709710255324,102.52126418073517,1997,1.563168488494431
100.35844985184005,101.33709710255324,102.52126418073517,5851,1.563168488494431
101.00613838994074,101.33709710255324,102.52126418073517,5250,1.563168488494431
102.52916824634876,101.33709710255324,102.52126418073517,1797,1.563168488494431
102.29501487162543,101.33709710255324,102.52126418073517,5985,1.563168488494431
102.06087791467625,101.64992985488625,102.52126418073517,1765,1.563168488494431
103.64009073018364,102.30625803055496,102.52126418073517,9862,1.563168488494431
104.40752545933655,102.98653544443414,102.52126418073517,9051,1.563168488494431
103.9380510734016,103.2683120098447,102.52126418073517,9643,1.563168488494431
104.48061111698756,103.70543125891713,102.52126418073517,9560,1.563168488494431
104.0171934241751,104.0966943608169,102.87331210785158,1885,1.4487958819328348
103.55146367060485,104.07896894890114,103.19261348972805,6048,1.1550329104604613
103.79342594217087,103.95614904546801,103.47134224495107,2707,0.8698859611951422
101.88014569751307,103.54456797029029,103.4064399900675,8690,0.9668049241017322
100.15522786500004,102.67949131989278,103.19246128940497,2730,1.3860275568975953
99.59294033575907,101.79464070220959,102.94566753151324,7760,1.775032083238872
98.58010921542466,100.80036981117354,102.43966938003734,9961,2.220414991444775
98.89435654801993,99.82055593234335,101.88835248890567,338,2.3577170453087777
97.98633247249872,99.04179328734048,101.29318062881539,3636,2.527881578678054
96.57402877116343,98.32555346857316,100.50252239423297,3961,2.6535289748203326
98.03967754008498,98.01490090943835,99.90477080582396,9438,2.438363907175222
97.81390123959844,97.86165931427311,99.33101456272331,9849,2.1419609738712735
97.88142944428637,97.6590738935264,98.73981491293486,8591,1.4901522203885171
96.4566812580729,97.35314365064121,98.19746846899086,7999,1.1735325567687738
95.91229853354773,97.22079760311809,97.77317553584562,7245,1.1539084696123243
96.02322112325758,96.8175063197526,97.41620361459547,5961,1.0780666748969194
94.87222754583529,96.22917158099997,97.04541544763654,348,1.2562001407651362
95.24792556418096,95.70247080497889,96.68077234925263,4423,1.1872044633120933
94.64728687426215,95.34059192821674,96.34686778942898,7201,1.2472522390461298
94.35559312446888,95.02925084640097,96.12502422475953,2960,1.3913291142759572
93.75388651223948,94.57538392419735,95.69644512197497,823,1.3960964069902393
95.60616469674842,94.72217135437998,95.47567146768998,669,1.1822242069437576
95.59266747201049,94.79111973594588,95.2467952704624,8511,0.8354014448056619
94.53495654305459,94.76865366970438,95.05462279896057,9686,0.74196794245219
95.35750145515777,94.96903533584216,94.99914309112157,2934,0.6896050144427959
94.13665780518676,95.04558959443162,94.81048675931449,8028,0.6341423447585973
94.3455214001915,94.79346093512022,94.75781614475011,6771,0.650116873665521
92.38585127631173,94.15209769598047,94.47160871596317,2222,0.9644071705794012
91.05766522741331,93.45663943285221,94.11264655127829,4100,1.4416942073261934
91.25452646328243,92.63604443447714,93.80253988515965,3189,1.6949108676403923
91.99299304327783,92.20731148209536,93.62645053826348,7265,1.7893674762196612
92.1643613244678,91.77107946695062,93.28227020103542,7310,1.6947749558577083
92.04871304207957,91.70365182010418,92.92787475804232,149,1.5194343162858068
91.74760934649028,91.84164064391959,92.6491400383859,614,1.4457412520968447
90.26908735612285,91.64455282248767,92.14029862848241,4771,1.271558244145728
89.54924314772813,91.15580284337773,91.68155716273654,7849,1.298521575240413
89.08860437676836,90.54065145383784,91.15586546039422,1265,1.1565564580055814
90.14572660298727,90.16005416601938,90.93185299306178,514,1.1077657751664687
90.48934489255574,89.90840127523248,90.87502095957602,1204,1.1151477736690456
88.72630473719299,89.5998447514465,90.62219878696708,4958,1.2921023988245361
89.0503887065878,89.50007386321843,90.32793835329808,3456,1.2802506477183884
88.66530642617147,89.41541427309906,89.97803286346844,2516,1.1980972213742553
